City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
203,jaguey grande,22.5269,-81.1286,303.03,69,67,4.54,CU,1728571318
204,enewetak,11.3474,162.3373,301.37,78,93,4.37,MH,1728571320
205,lebu,-37.6167,-73.65,286.72,74,88,2.61,CL,1728571321
206,fang,19.9169,99.2145,294.79,97,3,0.1,TH,1728571322
207,bhimunipatnam,17.8833,83.4333,301.88,81,61,2.36,IN,1728571324
208,grand-popo,6.2804,1.8225,301.81,70,32,4.59,BJ,1728571325
209,el haouaria,37.05,11.0144,303.16,73,97,8.8,TN,1728571326
210,vinh,18.6667,105.6667,297.2,77,90,0.79,VN,1728571328
211,sinabang,2.4803,96.3801,298.73,89,96,2.28,ID,1728571329
212,progreso,21.2833,-89.6667,301.46,77,100,4.72,MX,1728571331
213,kareli,22.9167,79.0667,298.56,72,71,0.57,IN,1728571333
214,arkalyk,50.2486,66.9114,288.75,42,76,3.56,KZ,1728571334
215,chinhoyi,-17.3667,30.2,302.62,9,3,3.59,ZW,1728571335
216,santa ana,33.7456,-117.8678,290.36,91,100,2.06,US,1728571336
217,el granada,37.5027,-122.4694,288.03,89,40,3.09,US,1728571337
218,happy valley-goose bay,53.3168,-60.3315,282.32,93,100,5.14,CA,1728571339
219,mejit,10.2753,170.8646,301.1,77,100,4.66,MH,1728571340
220,antalaha,-14.9003,50.2788,297.48,68,31,6.73,MG,1728571342
221,thompson,55.7435,-97.8558,279.24,93,75,1.54,CA,1728571343
222,nanaimo,49.1663,-123.936,283.02,89,20,3.09,CA,1728571345
223,sittwe,20.15,92.9,301.13,80,0,3.55,MM,1728571346
224,pisco,-13.7,-76.2167,291.18,82,100,2.57,PE,1728571348
225,santa cruz,-17.8,-63.1667,297.18,73,75,2.57,BO,1728570797
226,maloye ganyushkino,46.6,49.2667,290.94,44,35,5.22,KZ,1728571352
227,torghay,49.6339,63.4981,290.32,43,100,5.88,KZ,1728571353
228,wailua homesteads,22.0669,-159.378,298.59,94,0,7.2,US,1728571354
229,kapuskasing,49.4169,-82.4331,279.2,87,20,2.57,CA,1728571356
230,rio grande,-32.035,-52.0986,289.84,90,100,10.24,BR,1728571211
